experiment_name,assignment_strategy,n_robots,max_number_of_targets,learning_rate,discount_factor,seed,mean_path_length,mean_distance_to_a_target,time_taken,steps_taken
main_experiment,random,4,6,0.9,0.99,3,46.291666666666664,39.9,8.584538698196411,131
main_experiment,random,4,7,0.9,0.99,1,44.833333333333336,39.2,8.75020956993103,120
main_experiment,random,4,7,0.9,0.99,2,41.166666666666664,32.7,9.448182821273804,102
main_experiment,random,4,7,0.9,0.99,3,30.125,28.9,8.435326337814331,100
main_experiment,random,4,8,0.9,0.99,1,23.0625,23.0,10.277116537094116,95
main_experiment,random,4,8,0.9,0.99,2,42.0625,32.6,12.25168251991272,114
main_experiment,random,4,8,0.9,0.99,3,37.270833333333336,36.7,9.155885934829712,125
main_experiment,random,4,9,0.9,0.99,1,32.458333333333336,32.8,9.234177827835083,111
main_experiment,random,4,9,0.9,0.99,2,32.583333333333336,29.5,9.507391452789307,103
main_experiment,random,4,9,0.9,0.99,3,32.166666666666664,33.4,10.211030006408691,120
main_experiment,random,4,10,0.9,0.99,1,53.5625,40.5,10.27347731590271,121
main_experiment,random,4,10,0.9,0.99,2,29.5,29.2,10.9906005859375,102
main_experiment,random,4,10,0.9,0.99,3,35.375,33.1,11.561586141586304,112
main_experiment,random,5,1,0.9,0.99,1,14.383333333333335,18.7,6.439616918563843,221
main_experiment,random,5,1,0.9,0.99,2,15.0,18.3,6.5587685108184814,225
main_experiment,random,5,1,0.9,0.99,3,14.483333333333334,17.1,5.726838111877441,207
main_experiment,random,5,2,0.9,0.99,1,17.066666666666666,17.1,6.39556097984314,130
main_experiment,random,5,2,0.9,0.99,2,12.5,15.2,6.896805047988892,127
main_experiment,random,5,2,0.9,0.99,3,16.833333333333336,20.0,7.343963384628296,165
main_experiment,random,5,3,0.9,0.99,1,12.799999999999999,15.6,7.462502717971802,94
main_experiment,random,5,3,0.9,0.99,2,23.2,18.7,7.616947174072266,102
main_experiment,random,5,3,0.9,0.99,3,17.116666666666667,20.8,6.925445079803467,109
main_experiment,random,5,4,0.9,0.99,1,21.1,24.8,8.416406393051147,107
main_experiment,random,5,4,0.9,0.99,2,28.866666666666664,24.3,8.43844223022461,107
main_experiment,random,5,4,0.9,0.99,3,23.1,21.0,7.6044697761535645,96
main_experiment,random,5,5,0.9,0.99,1,33.233333333333334,31.0,8.869557857513428,106
main_experiment,random,5,5,0.9,0.99,2,14.833333333333332,18.9,8.942369937896729,78
main_experiment,random,5,5,0.9,0.99,3,40.85,32.8,7.868220567703247,111
main_experiment,random,5,6,0.9,0.99,1,24.933333333333334,25.3,7.495738506317139,75
main_experiment,random,5,6,0.9,0.99,2,15.65,18.2,8.722461700439453,68
main_experiment,random,5,6,0.9,0.99,3,30.366666666666667,30.2,10.437006950378418,94
main_experiment,random,5,7,0.9,0.99,1,37.68333333333334,37.3,9.634779453277588,114
main_experiment,random,5,7,0.9,0.99,2,13.6,22.4,8.44002628326416,99
main_experiment,random,5,7,0.9,0.99,3,44.1,36.4,8.859725713729858,106
main_experiment,random,5,8,0.9,0.99,1,27.2,25.0,8.456827640533447,72
main_experiment,random,5,8,0.9,0.99,2,38.8,32.7,9.266252517700195,98
main_experiment,random,5,8,0.9,0.99,3,33.71666666666667,33.4,10.889194250106812,109
main_experiment,random,5,9,0.9,0.99,1,30.8,27.7,11.280888319015503,92
main_experiment,random,5,9,0.9,0.99,2,22.083333333333336,24.9,10.457982301712036,93
main_experiment,random,5,9,0.9,0.99,3,25.75,25.2,10.566801071166992,74
main_experiment,random,5,10,0.9,0.99,1,40.2,34.6,10.614388227462769,103
main_experiment,random,5,10,0.9,0.99,2,35.8,30.7,10.6055006980896,90
main_experiment,random,5,10,0.9,0.99,3,29.233333333333338,25.4,9.91472339630127,75
main_experiment,random,6,1,0.9,0.99,1,11.25,14.3,5.966070652008057,202
main_experiment,random,6,1,0.9,0.99,2,14.85,16.5,6.088623046875,213
main_experiment,random,6,1,0.9,0.99,3,15.25,14.5,5.976749658584595,192
main_experiment,random,6,2,0.9,0.99,1,20.88888888888889,21.2,6.7329020500183105,135
main_experiment,random,6,2,0.9,0.99,2,22.847222222222225,23.6,6.759750127792358,165
main_experiment,random,6,2,0.9,0.99,3,12.805555555555557,15.4,5.98003625869751,124
main_experiment,random,6,3,0.9,0.99,1,22.666666666666668,23.2,5.9494218826293945,115
main_experiment,random,6,3,0.9,0.99,2,17.98611111111111,17.7,6.835228681564331,104
main_experiment,random,6,3,0.9,0.99,3,32.22222222222222,32.1,6.861422061920166,155
main_experiment,random,6,4,0.9,0.99,1,19.433333333333334,21.6,7.6465981006622314,104
main_experiment,random,6,4,0.9,0.99,2,20.375,20.7,8.325108289718628,97
main_experiment,random,6,4,0.9,0.99,3,32.19444444444444,30.6,8.540611267089844,133
main_experiment,random,6,5,0.9,0.99,1,26.527777777777782,26.8,8.68180775642395,110
main_experiment,random,6,5,0.9,0.99,2,22.833333333333332,24.3,9.293821811676025,76
main_experiment,random,6,5,0.9,0.99,3,28.388888888888886,23.5,7.655512809753418,88
